Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.6e-05,18.642914,[ 24 158] ; [44 87],[ 39.5399361 142.4600639] ; [ 28.4600639 102.5399361],1
a4,1,0.677,0.173522,[ 83 100] ; [63 69],[84.81904762 98.18095238] ; [61.18095238 70.81904762],0
s6,1,0.67849,0.17183,[108  74] ; [82 51],[109.77777778  72.22222222] ; [80.22222222 52.77777778],0
b1,1,0.688572,0.160636,[ 58 125] ; [45 88],[ 59.64873418 123.35126582] ; [43.35126582 89.64873418],0
r3,1,0.691242,0.157744,[174   7] ; [128   4],[174.63897764   6.36102236] ; [127.36102236   4.63897764],0
n6,1,0.709864,0.138413,[154  29] ; [109  23],[152.79047619  30.20952381] ; [110.20952381  21.79047619],0
d1,1,0.713023,0.135276,[98 85] ; [74 59],[99.60759494 83.39240506] ; [72.39240506 60.60759494],0
a6,1,0.758731,0.09434,[125  58] ; [93 40],[126.24683544  56.75316456] ; [91.75316456 41.24683544],0
n3,1,0.771409,0.084409,[43 13] ; [27  7],[43.55555556 12.44444444] ; [26.44444444  7.55555556],0
a5,1,0.882815,0.021727,[128  55] ; [92 41],[127.40506329  55.59493671] ; [92.59493671 40.40506329],0
b3,1,0.88544,0.020758,[42 62] ; [39 60],[41.49753695 62.50246305] ; [39.50246305 59.49753695],0
b2,1,0.88544,0.020758,[42 62] ; [39 60],[41.49753695 62.50246305] ; [39.50246305 59.49753695],0
n4,1,0.907565,0.013482,[140  43] ; [101  32],[139.5664557  43.4335443] ; [101.4335443  31.5664557],0
s1,1,0.968226,0.001587,[  4 176] ; [  3 128],[  4.05144695 175.94855305] ; [  2.94855305 128.05144695],0
d2,1,0.979569,0.000656,[85 95] ; [63 70],[85.11182109 94.88817891] ; [62.88817891 70.11182109],0
n5,1,0.980914,0.000572,[128  54] ; [93 39],[128.0955414  53.9044586] ; [92.9044586 39.0955414],0
s4,1,0.989991,0.000157,[ 26 154] ; [ 19 113],[ 25.96153846 154.03846154] ; [ 19.03846154 112.96153846],0
