Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.003406,8.575858,[27 16] ; [ 5 16],[21.5 21.5] ; [10.5 10.5],0
r3,1,0.646261,0.210647,[95 33] ; [38 11],[96.18079096 31.81920904] ; [36.81920904 12.18079096],0
a5,1,0.662856,0.190073,[78 51] ; [32 18],[79.27374302 49.72625698] ; [30.72625698 19.27374302],0
a1,1,0.670565,0.180942,[ 13 116] ; [ 4 46],[ 12.25139665 116.74860335] ; [ 4.74860335 45.25139665],0
a8,1,0.726042,0.122777,[ 13 108] ; [ 4 41],[ 12.39156627 108.60843373] ; [ 4.60843373 40.39156627],0
r2,1,0.7684,0.086712,[107  21] ; [41  7],[107.63636364  20.36363636] ; [40.36363636  7.63636364],0
s3,1,0.78169,0.076794,[61 67] ; [24 24],[61.81818182 66.18181818] ; [23.18181818 24.81818182],0
v3,1,0.786283,0.073517,[38 87] ; [13 33],[37.28070175 87.71929825] ; [13.71929825 32.28070175],0
r4,1,0.811396,0.056942,[85 44] ; [32 18],[84.31843575 44.68156425] ; [32.68156425 17.31843575],0
n2,1,0.823465,0.04977,[32 22] ; [13 10],[31.55844156 22.44155844] ; [13.44155844  9.55844156],0
v1,1,0.851854,0.034877,[52 77] ; [19 30],[51.45505618 77.54494382] ; [19.54494382 29.45505618],0
r1,1,0.870674,0.026505,[85 44] ; [31 17],[84.54237288 44.45762712] ; [31.45762712 16.54237288],0
d1,1,0.900306,0.015694,[58 71] ; [23 27],[58.37430168 70.62569832] ; [22.62569832 27.37430168],0
p5,1,0.908552,0.013194,[  7 119] ; [ 3 47],[  7.15909091 118.84090909] ; [ 2.84090909 47.15909091],0
p1,1,0.975209,0.000966,[ 13 115] ; [ 5 45],[ 12.94382022 115.05617978] ; [ 5.05617978 44.94382022],0
n1,1,0.989161,0.000185,[24 29] ; [10 12],[24.02666667 28.97333333] ; [ 9.97333333 12.02666667],0
