Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.176098,[15  2] ; [ 3 21],[7.46341463 9.53658537] ; [10.53658537 13.46341463],1
a3,1,0.647901,0.208556,[12  5] ; [14  8],[11.33333333  5.66666667] ; [14.66666667  7.33333333],0
s5,1,0.715258,0.133082,[ 2 15] ; [ 2 22],[ 1.65853659 15.34146341] ; [ 2.34146341 21.65853659],0
b5,1,0.812074,0.056526,[ 7 10] ; [ 9 15],[ 6.63414634 10.36585366] ; [ 9.36585366 14.63414634],0
p6,1,0.825767,0.048459,[ 1 16] ; [ 1 22],[ 0.85 16.15] ; [ 1.15 21.85],0
s6,1,0.837201,0.04222,[ 4 13] ; [ 5 19],[ 3.73170732 13.26829268] ; [ 5.26829268 18.73170732],0
p9,1,0.875179,0.024675,[ 4 12] ; [ 6 16],[ 4.21052632 11.78947368] ; [ 5.78947368 16.21052632],0
n3,1,0.887593,0.01998,[4 7] ; [3 6],[3.85 7.15] ; [3.15 5.85],0
n6,1,0.89611,0.01705,[7 9] ; [10 14],[6.8 9.2] ; [10.2 13.8],0
v1,1,0.913974,0.01167,[ 4 13] ; [ 6 18],[ 4.14634146 12.85365854] ; [ 5.85365854 18.14634146],0
a6,1,0.938206,0.00601,[9 8] ; [13 11],[9.12195122 7.87804878] ; [12.87804878 11.12195122],0
s2,1,0.94349,0.005025,[ 2 15] ; [ 3 21],[ 2.07317073 14.92682927] ; [ 2.92682927 21.07317073],0
b1,1,0.97496,0.000985,[10  7] ; [14 10],[9.95121951 7.04878049] ; [14.04878049  9.95121951],0
n4,1,0.986442,0.000289,[12  5] ; [17  7],[12.02439024  4.97560976] ; [16.97560976  7.02439024],0
u2,1,1.0,0.0,[1 4] ; [2 8],[1. 4.] ; [2. 8.],0
