Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.9e-05,16.938343,[57  2] ; [20 11],[50.47777778  8.52222222] ; [26.52222222  4.47777778],1
a6,1,0.4316,0.618515,[33 26] ; [20 11],[34.74444444 24.25555556] ; [18.25555556 12.74444444],0
a3,1,0.468769,0.524877,[37 22] ; [17 14],[35.4 23.6] ; [18.6 12.4],0
n2,1,0.477968,0.503497,[9 4] ; [9 2],[9.75 3.25] ; [8.25 2.75],0
p4,1,0.491543,0.473146,[44 15] ; [21 10],[42.61111111 16.38888889] ; [22.38888889  8.61111111],0
s2,1,0.505743,0.442865,[28 31] ; [17 14],[29.5 29.5] ; [15.5 15.5],0
u3,1,0.507903,0.438386,[11 11] ; [5 8],[10.05714286 11.94285714] ; [5.94285714 7.05714286],0
u2,1,0.507903,0.438386,[11 11] ; [5 8],[10.05714286 11.94285714] ; [5.94285714 7.05714286],0
d1,1,0.514309,0.425291,[29 30] ; [13 18],[27.53333333 31.46666667] ; [14.46666667 16.53333333],0
p7,1,0.542221,0.37144,[43 16] ; [20 10],[41.76404494 17.23595506] ; [21.23595506  8.76404494],0
p8,1,0.597515,0.27876,[32 27] ; [15 16],[30.81111111 28.18888889] ; [16.18888889 14.81111111],0
d3,1,0.624811,0.239163,[33 26] ; [19 12],[34.08888889 24.91111111] ; [17.91111111 13.08888889],0
n1,1,0.627867,0.234965,[6 7] ; [4 7],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
u1,1,0.68427,0.165359,[ 3 56] ; [ 1 30],[ 2.62222222 56.37777778] ; [ 1.37777778 29.62222222],0
a8,1,0.714658,0.133669,[ 5 51] ; [ 2 28],[ 4.55813953 51.44186047] ; [ 2.44186047 27.55813953],0
a5,1,0.77064,0.084994,[38 21] ; [19 12],[37.36666667 21.63333333] ; [19.63333333 11.36666667],0
s3,1,0.815769,0.054285,[33 26] ; [16 14],[32.48314607 26.51685393] ; [16.51685393 13.48314607],0
n3,1,0.851054,0.035259,[9 4] ; [8 3],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
