Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.3e-05,17.920581,[58  5] ; [39 26],[47.7421875 15.2578125] ; [49.2578125 15.7421875],1
b3,1,0.233873,1.417149,[10 32] ; [14 25],[12.44444444 29.55555556] ; [11.55555556 27.44444444],0
b2,1,0.233873,1.417149,[10 32] ; [14 25],[12.44444444 29.55555556] ; [11.55555556 27.44444444],0
p4,1,0.238185,1.391304,[21 43] ; [15 49],[18. 46.] ; [18. 46.],0
s1,1,0.27024,1.215526,[ 2 60] ; [ 5 60],[ 3.41732283 58.58267717] ; [ 3.58267717 61.41732283],0
p8,1,0.280201,1.166117,[18 46] ; [13 52],[15.37984496 48.62015504] ; [15.62015504 49.37984496],0
s7,1,0.308176,1.038475,[19 42] ; [14 47],[16.5 44.5] ; [16.5 44.5],0
s6,1,0.331241,0.944039,[28 36] ; [23 42],[25.30232558 38.69767442] ; [25.69767442 39.30232558],0
u2,1,0.331382,0.943488,[16 10] ; [12 13],[14.2745098 11.7254902] ; [13.7254902 11.2745098],0
a6,1,0.362707,0.8285,[39 25] ; [35 31],[36.43076923 27.56923077] ; [37.56923077 28.43076923],0
n4,1,0.401947,0.702494,[42 22] ; [38 27],[39.68992248 24.31007752] ; [40.31007752 24.68992248],0
r2,1,0.449594,0.571676,[55  9] ; [51 12],[53.41732283 10.58267717] ; [52.58267717 10.41732283],0
d3,1,0.466086,0.531241,[38 26] ; [35 31],[35.93846154 28.06153846] ; [37.06153846 28.93846154],0
b5,1,0.475302,0.509622,[36 28] ; [33 33],[33.96923077 30.03076923] ; [35.03076923 30.96923077],0
u1,1,0.476174,0.507612,[ 7 57] ; [10 56],[ 8.36923077 55.63076923] ; [ 8.63076923 57.36923077],0
s8,1,0.476821,0.506125,[14 50] ; [11 54],[12.40310078 51.59689922] ; [12.59689922 52.40310078],0
r1,1,0.482414,0.493401,[46 18] ; [43 22],[44.15503876 19.84496124] ; [44.84496124 20.15503876],0
v1,1,0.49077,0.474838,[21 43] ; [18 48],[19.2 44.8] ; [19.8 46.2],0
a3,1,0.540903,0.373869,[37 27] ; [41 24],[38.69767442 25.30232558] ; [39.30232558 25.69767442],0
a8,1,0.542802,0.37037,[ 7 53] ; [ 5 55],[ 6. 54.] ; [ 6. 54.],0
d1,1,0.60979,0.26048,[30 34] ; [28 38],[28.55384615 35.44615385] ; [29.44615385 36.55384615],0
a7,1,0.6127,0.256262,[36 27] ; [40 25],[37.40625 25.59375] ; [38.59375 26.40625],0
a2,1,0.697501,0.151085,[10 54] ; [12 54],[10.83076923 53.16923077] ; [11.16923077 54.83076923],0
a5,1,0.736791,0.112967,[34 30] ; [37 29],[34.95384615 29.04615385] ; [36.04615385 29.95384615],0
v2,1,0.747692,0.103481,[24 38] ; [23 41],[23.12698413 38.87301587] ; [23.87301587 40.12698413],0
v3,1,0.757476,0.095355,[16 48] ; [17 45],[16.76190476 47.23809524] ; [16.23809524 45.76190476],0
n1,1,0.784176,0.075011,[ 6 12] ; [13 22],[ 6.45283019 11.54716981] ; [12.54716981 22.45283019],0
n5,1,0.799538,0.064488,[36 28] ; [38 27],[36.71317829 27.28682171] ; [37.28682171 27.71317829],0
a4,1,0.813393,0.05572,[22 41] ; [24 41],[22.640625 40.359375] ; [23.359375 41.640625],0
d2,1,0.859667,0.031258,[32 31] ; [32 33],[31.5 31.5] ; [32.5 32.5],0
d5,1,0.903535,0.014689,[43 21] ; [45 21],[43.32307692 20.67692308] ; [44.67692308 21.32307692],0
s5,1,0.935804,0.006487,[11 52] ; [11 54],[10.828125 52.171875] ; [11.171875 53.828125],0
d4,1,0.945718,0.004636,[43 20] ; [44 21],[42.8203125 20.1796875] ; [44.1796875 20.8203125],0
p1,1,0.945837,0.004615,[ 4 59] ; [ 4 62],[ 3.90697674 59.09302326] ; [ 4.09302326 61.90697674],0
p12,1,0.97355,0.001099,[ 1 62] ; [ 1 65],[ 0.97674419 62.02325581] ; [ 1.02325581 64.97674419],0
