Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.6e-05,17.069022,[ 8 15] ; [52 12],[15.86206897  7.13793103] ; [44.13793103 19.86206897],1
p7,1,0.342008,0.902891,[12 11] ; [40 23],[13.90697674  9.09302326] ; [38.09302326 24.90697674],0
p8,1,0.365879,0.817614,[ 8 14] ; [29 32],[ 9.80722892 12.19277108] ; [27.19277108 33.80722892],0
d3,1,0.405742,0.691243,[14  9] ; [45 19],[15.59770115  7.40229885] ; [43.40229885 20.59770115],0
a6,1,0.408815,0.682245,[11 12] ; [37 27],[12.68965517 10.31034483] ; [35.31034483 28.68965517],0
b3,1,0.424143,0.638808,[5 6] ; [14 29],[3.87037037 7.12962963] ; [15.12962963 27.87037037],0
b2,1,0.424143,0.638808,[5 6] ; [14 29],[3.87037037 7.12962963] ; [15.12962963 27.87037037],0
a1,1,0.447119,0.577945,[ 1 22] ; [ 6 58],[ 1.85057471 21.14942529] ; [ 5.14942529 58.85057471],0
p6,1,0.447528,0.576905,[ 8 14] ; [27 32],[ 9.50617284 12.49382716] ; [25.49382716 33.50617284],0
r3,1,0.456498,0.554467,[20  3] ; [59  5],[20.88505747  2.11494253] ; [58.11494253  5.88505747],0
s8,1,0.461756,0.541634,[ 7 16] ; [25 39],[ 8.45977011 14.54022989] ; [23.54022989 40.45977011],0
b4,1,0.461756,0.541634,[16  7] ; [39 25],[14.54022989  8.45977011] ; [40.45977011 23.54022989],0
b1,1,0.486891,0.483389,[12 11] ; [28 36],[10.57471264 12.42528736] ; [29.42528736 34.57471264],0
a3,1,0.49169,0.472826,[14  9] ; [44 20],[15.33333333  7.66666667] ; [42.66666667 21.33333333],0
d5,1,0.505546,0.443274,[18  5] ; [54 10],[19.03448276  3.96551724] ; [52.96551724 11.03448276],0
n1,1,0.507256,0.439724,[2 8] ; [ 6 13],[2.75862069 7.24137931] ; [ 5.24137931 13.75862069],0
u1,1,0.573833,0.316312,[ 1 22] ; [ 5 59],[ 1.5862069 21.4137931] ; [ 4.4137931 59.5862069],0
a7,1,0.614277,0.253993,[13 10] ; [40 24],[14.01149425  8.98850575] ; [38.98850575 25.01149425],0
a4,1,0.633929,0.22677,[ 7 16] ; [23 41],[ 7.93103448 15.06896552] ; [22.06896552 41.93103448],0
r2,1,0.665762,0.186599,[19  4] ; [47 13],[18.28915663  4.71084337] ; [47.71084337 12.28915663],0
p1,1,0.691368,0.157609,[ 2 21] ; [ 4 60],[ 1.5862069 21.4137931] ; [ 4.4137931 59.5862069],0
a5,1,0.700718,0.147726,[14  9] ; [36 28],[13.2183908  9.7816092] ; [36.7816092 27.2183908],0
d2,1,0.700718,0.147726,[ 9 14] ; [28 36],[ 9.7816092 13.2183908] ; [27.2183908 36.7816092],0
s6,1,0.725567,0.123221,[13  9] ; [38 22],[13.68292683  8.31707317] ; [37.31707317 22.68292683],0
v4,1,0.745757,0.105131,[20  3] ; [53 10],[19.52325581  3.47674419] ; [53.47674419  9.52325581],0
b5,1,0.785343,0.074181,[14  9] ; [41 23],[14.54022989  8.45977011] ; [40.45977011 23.54022989],0
s3,1,0.807524,0.059351,[11 12] ; [32 31],[11.5 11.5] ; [31.5 31.5],0
p4,1,0.826619,0.047978,[12 11] ; [34 28],[12.44705882 10.55294118] ; [33.55294118 28.44705882],0
s1,1,0.935672,0.006514,[ 1 22] ; [ 3 60],[ 1.06976744 21.93023256] ; [ 2.93023256 60.06976744],0
s2,1,0.937532,0.006142,[11 12] ; [30 34],[10.83908046 12.16091954] ; [30.16091954 33.83908046],0
a2,1,0.94637,0.004525,[ 3 20] ; [ 8 56],[ 2.90804598 20.09195402] ; [ 8.09195402 55.90804598],0
