Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,34.267241,[44 14] ; [ 9 39],[29. 29.] ; [24. 24.],1
a2,1,0.497295,0.460704,[10 48] ; [ 6 42],[ 8.75471698 49.24528302] ; [ 7.24528302 40.75471698],0
p6,1,0.568572,0.325077,[12 45] ; [ 8 40],[10.85714286 46.14285714] ; [ 9.14285714 38.85714286],0
v3,1,0.583407,0.300759,[12 42] ; [ 8 37],[10.90909091 43.09090909] ; [ 9.09090909 35.90909091],0
s4,1,0.598226,0.27768,[12 46] ; [ 8 40],[10.94339623 47.05660377] ; [ 9.05660377 38.94339623],0
u1,1,0.645557,0.211548,[ 5 53] ; [ 3 45],[ 4.37735849 53.62264151] ; [ 3.62264151 44.37735849],0
u2,1,0.760015,0.093306,[15  8] ; [14  9],[14.5  8.5] ; [14.5  8.5],0
a4,1,0.78931,0.071399,[22 36] ; [17 31],[21.33962264 36.66037736] ; [17.66037736 30.33962264],0
p1,1,0.790442,0.070616,[ 3 55] ; [ 3 44],[ 3.31428571 54.68571429] ; [ 2.68571429 44.31428571],0
n5,1,0.793482,0.068535,[24 33] ; [19 29],[23.34285714 33.65714286] ; [19.65714286 28.34285714],0
a5,1,0.805833,0.06042,[34 24] ; [27 21],[33.37735849 24.62264151] ; [27.62264151 20.37735849],0
d5,1,0.848224,0.036628,[39 18] ; [32 16],[38.54285714 18.45714286] ; [32.45714286 15.54285714],0
u3,1,0.873351,0.025409,[12 10] ; [12 11],[11.73333333 10.26666667] ; [12.26666667 10.73333333],0
s1,1,0.916451,0.011005,[ 4 54] ; [ 3 44],[ 3.86666667 54.13333333] ; [ 3.13333333 43.86666667],0
n4,1,0.97061,0.001357,[28 30] ; [23 25],[27.90566038 30.09433962] ; [23.09433962 24.90566038],0
