Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000134,14.589294,[17 16] ; [13 66],[ 8.83928571 24.16071429] ; [21.16071429 57.83928571],1
d1,1,0.645586,0.211511,[17 16] ; [45 35],[18.10619469 14.89380531] ; [43.89380531 36.10619469],0
b3,1,0.722831,0.125796,[ 7 14] ; [20 33],[ 7.66216216 13.33783784] ; [19.33783784 33.66216216],0
b2,1,0.722831,0.125796,[ 7 14] ; [20 33],[ 7.66216216 13.33783784] ; [19.33783784 33.66216216],0
r1,1,0.771883,0.08405,[24  9] ; [56 24],[23.36283186  9.63716814] ; [56.63716814 23.36283186],0
n5,1,0.793183,0.068738,[23 10] ; [57 22],[23.57142857  9.42857143] ; [56.42857143 22.57142857],0
a8,1,0.803672,0.061801,[ 3 27] ; [ 9 68],[ 3.36448598 26.63551402] ; [ 8.63551402 68.36448598],0
s6,1,0.902202,0.015099,[20 12] ; [49 31],[19.71428571 12.28571429] ; [49.28571429 30.71428571],0
b4,1,0.908323,0.01326,[19 14] ; [47 33],[19.27433628 13.72566372] ; [46.72566372 33.27433628],0
a5,1,0.921145,0.009799,[23 10] ; [55 25],[22.77876106 10.22123894] ; [55.22123894 24.77876106],0
n1,1,0.935146,0.006621,[4 4] ; [16 15],[4.1025641 3.8974359] ; [15.8974359 15.1025641],0
r2,1,0.968939,0.001516,[30  3] ; [72  7],[30.05357143  2.94642857] ; [71.94642857  7.05357143],0
n2,1,0.975736,0.000925,[7 1] ; [27  4],[6.97435897 1.02564103] ; [27.02564103  3.97435897],0
r4,1,0.983656,0.00042,[28  5] ; [68 12],[28.03539823  4.96460177] ; [67.96460177 12.03539823],0
