Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5.1e-05,16.397426,[ 5 67] ; [ 9 12],[10.83870968 61.16129032] ; [ 3.16129032 17.83870968],1
a8,1,0.492414,0.471247,[ 7 62] ; [ 3 16],[ 7.84090909 61.15909091] ; [ 2.15909091 16.84090909],0
s4,1,0.537935,0.379381,[13 60] ; [ 5 16],[13.9787234 59.0212766] ; [ 4.0212766 16.9787234],0
p10,1,0.597027,0.279503,[22 47] ; [ 8 13],[23. 46.] ; [ 7. 14.],0
u2,1,0.629217,0.233124,[10 16] ; [2 5],[ 9.45454545 16.54545455] ; [2.54545455 4.45454545],0
r2,1,0.632629,0.228513,[56 13] ; [18  3],[56.73333333 12.26666667] ; [17.26666667  3.73333333],0
p5,1,0.650694,0.205026,[ 2 70] ; [ 1 20],[ 2.32258065 69.67741935] ; [ 0.67741935 20.32258065],0
a6,1,0.677242,0.173247,[38 34] ; [10 11],[37.16129032 34.83870968] ; [10.83870968 10.16129032],0
s1,1,0.710191,0.138086,[ 9 63] ; [ 2 19],[ 8.51612903 63.48387097] ; [ 2.48387097 18.51612903],0
u1,1,0.724544,0.12418,[ 9 64] ; [ 2 19],[ 8.54255319 64.45744681] ; [ 2.45744681 18.54255319],0
v4,1,0.769068,0.086197,[49 23] ; [15  6],[49.5483871 22.4516129] ; [14.4516129  6.5483871],0
d2,1,0.803823,0.061704,[35 36] ; [11 10],[35.5 35.5] ; [10.5 10.5],0
v1,1,0.816133,0.054066,[19 54] ; [ 6 15],[19.41489362 53.58510638] ; [ 5.58510638 15.41489362],0
r1,1,0.832441,0.044762,[43 29] ; [12  9],[42.58064516 29.41935484] ; [12.41935484  8.58064516],0
b1,1,0.84872,0.036386,[40 33] ; [12  9],[40.38297872 32.61702128] ; [11.61702128  9.38297872],0
n5,1,0.89743,0.016618,[40 32] ; [12  9],[40.25806452 31.74193548] ; [11.74193548  9.25806452],0
n4,1,0.89743,0.016618,[40 32] ; [12  9],[40.25806452 31.74193548] ; [11.74193548  9.25806452],0
v3,1,0.940043,0.005657,[21 47] ; [ 6 14],[20.86363636 47.13636364] ; [ 6.13636364 13.86363636],0
d5,1,0.957831,0.002796,[51 21] ; [15  6],[51.09677419 20.90322581] ; [14.90322581  6.09677419],0
b2,1,0.965172,0.001907,[18 28] ; [5 8],[17.93220339 28.06779661] ; [5.06779661 7.93220339],0
b3,1,0.965172,0.001907,[18 28] ; [5 8],[17.93220339 28.06779661] ; [5.06779661 7.93220339],0
a3,1,0.968104,0.001599,[47 24] ; [14  7],[47.07608696 23.92391304] ; [13.92391304  7.07608696],0
d3,1,0.974434,0.001027,[38 34] ; [11 10],[37.93548387 34.06451613] ; [11.06451613  9.93548387],0
u3,1,0.979171,0.000682,[11 15] ; [3 4],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
p1,1,0.992857,8e-05,[ 7 66] ; [ 2 19],[ 6.9893617 66.0106383] ; [ 2.0106383 18.9893617],0
