Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.633848,[118  34] ; [15 22],[106.96296296  45.03703704] ; [26.03703704 10.96296296],1
n4,1,0.372003,0.796963,[124  27] ; [28  9],[122.08510638  28.91489362] ; [29.91489362  7.08510638],0
p11,1,0.401168,0.704822,[105  48] ; [28  9],[107.1  45.9] ; [25.9 11.1],0
v3,1,0.451122,0.56783,[61 83] ; [12 22],[59.05617978 84.94382022] ; [13.94382022 20.05617978],0
u2,1,0.464795,0.534323,[18 10] ; [4 4],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
a4,1,0.493641,0.46858,[84 69] ; [18 19],[82.13684211 70.86315789] ; [19.86315789 17.13684211],0
p10,1,0.53633,0.382384,[122  30] ; [28  9],[120.63492063  31.36507937] ; [29.36507937  7.63492063],0
u3,1,0.548294,0.360382,[22  8] ; [5 3],[21.31578947  8.68421053] ; [5.68421053 2.31578947],0
p3,1,0.557955,0.343258,[66 87] ; [14 23],[64.42105263 88.57894737] ; [15.57894737 21.42105263],0
s4,1,0.565662,0.329995,[ 31 121] ; [ 6 31],[ 29.75661376 122.24338624] ; [ 7.24338624 29.75661376],0
n1,1,0.608586,0.262239,[22 22] ; [7 5],[22.78571429 21.21428571] ; [6.21428571 5.78571429],0
p6,1,0.65692,0.197287,[ 51 101] ; [11 26],[ 49.86243386 102.13756614] ; [12.13756614 24.86243386],0
s1,1,0.679633,0.170539,[ 11 139] ; [ 2 35],[ 10.42780749 139.57219251] ; [ 2.57219251 34.42780749],0
a8,1,0.699886,0.148591,[ 21 115] ; [ 6 27],[ 21.72781065 114.27218935] ; [ 5.27218935 27.72781065],0
a3,1,0.783468,0.075517,[123  30] ; [29  8],[122.4  30.6] ; [29.6  7.4],0
p2,1,0.844081,0.038682,[110  43] ; [26 11],[109.51578947  43.48421053] ; [26.48421053 10.51578947],0
p7,1,0.854264,0.033738,[75 74] ; [18 19],[74.5 74.5] ; [18.5 18.5],0
n2,1,0.943011,0.00511,[30 14] ; [9 4],[30.10526316 13.89473684] ; [8.89473684 4.10526316],0
p5,1,0.948682,0.004142,[  9 141] ; [ 2 33],[  8.91891892 141.08108108] ; [ 2.08108108 32.91891892],0
d4,1,0.949207,0.004058,[128  24] ; [31  6],[127.87301587  24.12698413] ; [31.12698413  5.87301587],0
a1,1,0.965557,0.001865,[  8 145] ; [ 2 35],[  8.05263158 144.94736842] ; [ 1.94736842 35.05263158],0
