Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,40.8,[ 9 42] ; [63 22],[27. 24.] ; [45. 40.],1
a7,1,0.375517,0.785326,[35 16] ; [65 21],[37.22627737 13.77372263] ; [62.77372263 23.22627737],0
d4,1,0.406257,0.689728,[39 11] ; [72 14],[40.80882353  9.19117647] ; [70.19117647 15.80882353],0
v2,1,0.41243,0.671784,[24 26] ; [47 38],[26.2962963 23.7037037] ; [44.7037037 40.2962963],0
a8,1,0.424331,0.63829,[ 9 37] ; [11 67],[ 7.41935484 38.58064516] ; [12.58064516 65.41935484],0
p11,1,0.424494,0.637839,[36 15] ; [66 20],[37.97080292 13.02919708] ; [64.02919708 21.97080292],0
p5,1,0.479568,0.499845,[ 4 47] ; [10 76],[ 5.21167883 45.78832117] ; [ 8.78832117 77.21167883],0
v1,1,0.483999,0.489839,[20 29] ; [40 45],[21.94029851 27.05970149] ; [38.05970149 46.94029851],0
a4,1,0.578833,0.308125,[23 28] ; [43 43],[24.56934307 26.43065693] ; [41.43065693 44.56934307],0
s4,1,0.582647,0.301975,[14 37] ; [20 66],[12.65693431 38.34306569] ; [21.34306569 64.65693431],0
n2,1,0.611945,0.257353,[15  3] ; [13  4],[14.4  3.6] ; [13.6  3.4],0
v3,1,0.620743,0.244825,[16 33] ; [31 53],[17.31578947 31.68421053] ; [29.68421053 54.31578947],0
n1,1,0.625444,0.23829,[ 7 11] ; [8 9],[ 7.71428571 10.28571429] ; [7.28571429 9.71428571],0
u2,1,0.630872,0.23088,[5 5] ; [13  9],[5.625 4.375] ; [12.375  9.625],0
a2,1,0.650986,0.20466,[13 38] ; [25 61],[14.1459854 36.8540146] ; [23.8540146 62.1459854],0
s3,1,0.670431,0.181098,[32 17] ; [53 33],[30.85185185 18.14814815] ; [54.14814815 31.85185185],0
u1,1,0.673324,0.177739,[11 40] ; [16 70],[10.05109489 40.94890511] ; [16.94890511 69.05109489],0
a3,1,0.676267,0.174359,[40 11] ; [64 21],[39. 12.] ; [65. 20.],0
a1,1,0.75172,0.100092,[ 3 48] ; [ 4 82],[ 2.60583942 48.39416058] ; [ 4.39416058 81.60583942],0
b3,1,0.856638,0.032636,[12 21] ; [20 38],[11.6043956 21.3956044] ; [20.3956044 37.6043956],0
b2,1,0.856638,0.032636,[12 21] ; [20 38],[11.6043956 21.3956044] ; [20.3956044 37.6043956],0
a6,1,0.887848,0.019889,[32 18] ; [54 32],[31.61764706 18.38235294] ; [54.38235294 31.61764706],0
a5,1,0.92823,0.008113,[37 14] ; [63 23],[37.22627737 13.77372263] ; [62.77372263 23.22627737],0
r2,1,0.941807,0.005329,[46  3] ; [81  5],[46.0962963  2.9037037] ; [80.9037037  5.0962963],0
n4,1,0.981889,0.000515,[41 10] ; [69 17],[40.94890511 10.05109489] ; [69.05109489 16.94890511],0
u3,1,1.0,0.0,[7 4] ; [14  8],[7. 4.] ; [14.  8.],0
n3,1,1.0,0.0,[11  6] ; [11  6],[11.  6.] ; [11.  6.],0
