Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,9e-06,19.812561,[14 61] ; [18 10],[23.30097087 51.69902913] ; [ 8.69902913 19.30097087],1
d5,1,0.422105,0.644448,[55 26] ; [22  7],[56.7 24.3] ; [20.3  8.7],0
a4,1,0.473374,0.514089,[37 44] ; [16 14],[38.67567568 42.32432432] ; [14.32432432 15.67567568],0
n1,1,0.476462,0.50695,[15 16] ; [5 3],[15.8974359 15.1025641] ; [4.1025641 3.8974359],0
b1,1,0.541896,0.372037,[33 49] ; [14 16],[34.41071429 47.58928571] ; [12.58928571 17.41071429],0
a8,1,0.563779,0.333203,[ 8 70] ; [ 4 24],[ 8.83018868 69.16981132] ; [ 3.16981132 24.83018868],0
u4,1,0.565064,0.331012,[ 5 77] ; [ 1 29],[ 4.39285714 77.60714286] ; [ 1.60714286 28.39285714],0
p10,1,0.60463,0.268069,[69 13] ; [24  6],[68.08928571 13.91071429] ; [24.91071429  5.08928571],0
n4,1,0.607406,0.263969,[56 26] ; [22  8],[57.10714286 24.89285714] ; [20.89285714  9.10714286],0
r3,1,0.611625,0.257816,[74  8] ; [28  2],[74.67857143  7.32142857] ; [27.32142857  2.67857143],0
u1,1,0.633197,0.22775,[14 68] ; [ 4 26],[13.17857143 68.82142857] ; [ 4.82142857 25.17857143],0
s3,1,0.717126,0.131263,[41 39] ; [16 13],[41.83486239 38.16513761] ; [15.16513761 13.83486239],0
a6,1,0.745273,0.105546,[53 28] ; [18 11],[52.28181818 28.71818182] ; [18.71818182 10.28181818],0
a1,1,0.74717,0.103925,[ 7 75] ; [ 2 28],[ 6.58928571 75.41071429] ; [ 2.41071429 27.58928571],0
a3,1,0.808782,0.058563,[52 29] ; [20 10],[52.54054054 28.45945946] ; [19.45945946 10.54054054],0
d3,1,0.859753,0.031219,[49 32] ; [17 12],[48.6 32.4] ; [17.4 11.6],0
d4,1,0.861762,0.030322,[60 21] ; [21  8],[59.64545455 21.35454545] ; [21.35454545  7.64545455],0
n5,1,0.868329,0.027483,[58 23] ; [21  9],[57.64864865 23.35135135] ; [21.35135135  8.64864865],0
p11,1,0.940038,0.005658,[58 24] ; [21  9],[57.83928571 24.16071429] ; [21.16071429  8.83928571],0
r1,1,0.940038,0.005658,[58 24] ; [21  9],[57.83928571 24.16071429] ; [21.16071429  8.83928571],0
n3,1,0.962853,0.002169,[23  8] ; [6 2],[23.05128205  7.94871795] ; [5.94871795 2.05128205],0
n2,1,0.975736,0.000925,[27  4] ; [7 1],[27.02564103  3.97435897] ; [6.97435897 1.02564103],0
